año,mes,punto_cruce,cantidad_ciclistas,Calle 1,Calle 2,Calle 1 Id,Calle 2 Id,Mes Id
2010,Octubre,Virrey Liniers y C.Calvo,788,Virrey Liniers,C.Calvo,4,27,10
2010,Octubre,Billinghurst y Peron,954,Billinghurst,Peron,5,28,10
2010,Octubre,Del Libertador y Montevideo,731,Del Libertador,Montevideo,6,10,10
2010,Octubre,Corredor Norte y Casares,1053,Corredor Norte,Casares,7,29,10
2010,Octubre,EEUU y 33 Orientales,369,EEUU,33 Orientales,8,30,10
2010,Octubre,F. Alcorta y Derecho,932,F. Alcorta,Derecho,9,31,10
2010,Octubre,Montevideo y Peron,258,Montevideo,Peron,10,28,10
2010,Octubre,Cnel. Diaz y Mansilla,175,Cnel. Diaz,Mansilla,11,32,10
2010,Octubre,Arenales y Montevideo,380,Arenales,Montevideo,12,10,10
2010,Noviembre,Virrey Cevallos y Chile,962,Virrey Cevallos,Chile,1,19,11
2010,Noviembre,Azopardo y Mexico,779,Azopardo,Mexico,2,25,11
2010,Noviembre,Rincon y Carlos Calvo,1273,Rincon,Carlos Calvo,3,26,11
2010,Noviembre,Virrey Liniers y C.Calvo,853,Virrey Liniers,C.Calvo,4,27,11
2010,Noviembre,Billinghurst y Peron,1542,Billinghurst,Peron,5,28,11
2010,Noviembre,Del Libertador y Montevideo,794,Del Libertador,Montevideo,6,10,11
2010,Noviembre,Corredor Norte y Casares,1010,Corredor Norte,Casares,7,29,11
2010,Noviembre,EEUU y 33 Orientales,403,EEUU,33 Orientales,8,30,11
2010,Noviembre,F. Alcorta y Derecho,1010,F. Alcorta,Derecho,9,31,11
2010,Noviembre,Montevideo y Peron,279,Montevideo,Peron,10,28,11
2010,Noviembre,Cnel. Diaz y Mansilla,190,Cnel. Diaz,Mansilla,11,32,11
2010,Noviembre,Arenales y Montevideo,412,Arenales,Montevideo,12,10,11
2010,Diciembre,Virrey Cevallos y Chile,985,Virrey Cevallos,Chile,1,19,12
2010,Diciembre,Azopardo y Mexico,706,Azopardo,Mexico,2,25,12
2010,Diciembre,Rincon y Carlos Calvo,1554,Rincon,Carlos Calvo,3,26,12
2010,Diciembre,Virrey Liniers y C.Calvo,753,Virrey Liniers,C.Calvo,4,27,12
2010,Diciembre,Billinghurst y Peron,1825,Billinghurst,Peron,5,28,12
2010,Diciembre,Del Libertador y Montevideo,771,Del Libertador,Montevideo,6,10,12
2010,Diciembre,Corredor Norte y Casares,1153,Corredor Norte,Casares,7,29,12
2010,Diciembre,EEUU y 33 Orientales,461,EEUU,33 Orientales,8,30,12
2010,Diciembre,F. Alcorta y Derecho,910,F. Alcorta,Derecho,9,31,12
2010,Diciembre,Montevideo y Peron,248,Montevideo,Peron,10,28,12
2010,Diciembre,Cnel. Diaz y Mansilla,169,Cnel. Diaz,Mansilla,11,32,12
2010,Diciembre,Arenales y Montevideo,365,Arenales,Montevideo,12,10,12
2011,Enero,Virrey Cevallos y Chile,955,Virrey Cevallos,Chile,1,19,1
2011,Enero,Azopardo y Mexico,560,Azopardo,Mexico,2,25,1
2011,Enero,Rincon y Carlos Calvo,1217,Rincon,Carlos Calvo,3,26,1
2011,Enero,Virrey Liniers y C.Calvo,907,Virrey Liniers,C.Calvo,4,27,1
2011,Enero,Billinghurst y Peron,1583,Billinghurst,Peron,5,28,1
2011,Enero,Del Libertador y Montevideo,902,Del Libertador,Montevideo,6,10,1
2011,Enero,Corredor Norte y Casares,1417,Corredor Norte,Casares,7,29,1
2011,Enero,EEUU y 33 Orientales,502,EEUU,33 Orientales,8,30,1
2011,Enero,F. Alcorta y Derecho,962,F. Alcorta,Derecho,9,31,1
2011,Enero,Montevideo y Peron,373,Montevideo,Peron,10,28,1
2011,Enero,Potosi y Rawson,523,Potosi,Rawson,17,33,1
2011,Enero,J. Alvarez y Padilla,191,J. Alvarez,Padilla,18,34,1
2011,Enero,Cnel. Diaz y Mansilla,316,Cnel. Diaz,Mansilla,11,32,1
2011,Enero,Arenales y Montevideo,474,Arenales,Montevideo,12,10,1
2011,Febrero,Virrey Cevallos y Chile,1006,Virrey Cevallos,Chile,1,19,2
2011,Febrero,Azopardo y Mexico,590,Azopardo,Mexico,2,25,2
2011,Febrero,Rincon y Carlos Calvo,1279,Rincon,Carlos Calvo,3,26,2
2011,Febrero,Virrey Liniers y C.Calvo,843,Virrey Liniers,C.Calvo,4,27,2
2011,Febrero,Billinghurst y Peron,1671,Billinghurst,Peron,5,28,2
2011,Febrero,Del Libertador y Montevideo,1173,Del Libertador,Montevideo,6,10,2
2011,Febrero,Corredor Norte y Casares,1463,Corredor Norte,Casares,7,29,2
2011,Febrero,EEUU y 33 Orientales,643,EEUU,33 Orientales,8,30,2
2011,Febrero,F. Alcorta y Derecho,1132,F. Alcorta,Derecho,9,31,2
2011,Febrero,Montevideo y Peron,394,Montevideo,Peron,10,28,2
2011,Febrero,Potosi y Rawson,407,Potosi,Rawson,17,33,2
2011,Febrero,J. Alvarez y Padilla,201,J. Alvarez,Padilla,18,34,2
2011,Febrero,Cnel. Diaz y Mansilla,334,Cnel. Diaz,Mansilla,11,32,2
2011,Febrero,Arenales y Montevideo,500,Arenales,Montevideo,12,10,2
2011,Marzo,Virrey Cevallos y Chile,1251,Virrey Cevallos,Chile,1,19,3
2011,Marzo,Azopardo y Mexico,673,Azopardo,Mexico,2,25,3
2011,Marzo,Rincon y Carlos Calvo,1166,Rincon,Carlos Calvo,3,26,3
2011,Marzo,Virrey Liniers y C.Calvo,1103,Virrey Liniers,C.Calvo,4,27,3
2011,Marzo,Billinghurst y Peron,1957,Billinghurst,Peron,5,28,3
2011,Marzo,Del Libertador y Montevideo,1098,Del Libertador,Montevideo,6,10,3
2011,Marzo,Corredor Norte y Casares,1756,Corredor Norte,Casares,7,29,3
2011,Marzo,EEUU y 33 Orientales,695,EEUU,33 Orientales,8,30,3
2011,Marzo,F. Alcorta y Derecho,1334,F. Alcorta,Derecho,9,31,3
2011,Marzo,Montevideo y Peron,976,Montevideo,Peron,10,28,3
2011,Marzo,Potosi y Rawson,444,Potosi,Rawson,17,33,3
2011,Marzo,J. Alvarez y Padilla,306,J. Alvarez,Padilla,18,34,3
2011,Marzo,Cnel. Diaz y Mansilla,373,Cnel. Diaz,Mansilla,11,32,3
2011,Marzo,Arenales y Montevideo,558,Arenales,Montevideo,12,10,3
2011,Abril,Virrey Cevallos y Chile,1444,Virrey Cevallos,Chile,1,19,4
2011,Abril,Azopardo y Mexico,879,Azopardo,Mexico,2,25,4
2011,Abril,Rincon y Carlos Calvo,1167,Rincon,Carlos Calvo,3,26,4
2011,Abril,Virrey Liniers y C.Calvo,815,Virrey Liniers,C.Calvo,4,27,4
2011,Abril,Billinghurst y Peron,2438,Billinghurst,Peron,5,28,4
2011,Abril,Del Libertador y Montevideo,1473,Del Libertador,Montevideo,6,10,4
2011,Abril,Corredor Norte y Casares,2075,Corredor Norte,Casares,7,29,4
2011,Abril,EEUU y 33 Orientales,815,EEUU,33 Orientales,8,30,4
2011,Abril,F. Alcorta y Derecho,1215,F. Alcorta,Derecho,9,31,4
2011,Abril,Montevideo y Peron,1166,Montevideo,Peron,10,28,4
2011,Abril,Potosi y Rawson,676,Potosi,Rawson,17,33,4
2011,Abril,J. Alvarez y Padilla,404,J. Alvarez,Padilla,18,34,4
2011,Abril,Cnel. Diaz y Mansilla,381,Cnel. Diaz,Mansilla,11,32,4
2011,Abril,Arenales y Montevideo,571,Arenales,Montevideo,12,10,4
2011,Mayo,Virrey Cevallos y Chile,1250,Virrey Cevallos,Chile,1,19,5
2011,Mayo,Azopardo y Mexico,564,Azopardo,Mexico,2,25,5
2011,Mayo,Rincon y Carlos Calvo,1009,Rincon,Carlos Calvo,3,26,5
2011,Mayo,Virrey Liniers y C.Calvo,1168,Virrey Liniers,C.Calvo,4,27,5
2011,Mayo,Billinghurst y Peron,2072,Billinghurst,Peron,5,28,5
2011,Mayo,Del Libertador y Montevideo,1729,Del Libertador,Montevideo,6,10,5
2011,Mayo,Corredor Norte y Casares,2044,Corredor Norte,Casares,7,29,5
2011,Mayo,EEUU y 33 Orientales,783,EEUU,33 Orientales,8,30,5
2011,Mayo,F. Alcorta y Derecho,1366,F. Alcorta,Derecho,9,31,5
2011,Mayo,Montevideo y Peron,1075,Montevideo,Peron,10,28,5
2011,Mayo,Potosi y Rawson,706,Potosi,Rawson,17,33,5
2011,Mayo,J. Alvarez y Padilla,317,J. Alvarez,Padilla,18,34,5
2011,Mayo,Cnel. Diaz y Mansilla,337,Cnel. Diaz,Mansilla,11,32,5
2011,Mayo,Arenales y Montevideo,504,Arenales,Montevideo,12,10,5
2011,Junio,Virrey Cevallos y Chile,1336,Virrey Cevallos,Chile,1,19,6
2011,Junio,Azopardo y Mexico,584,Azopardo,Mexico,2,25,6
2011,Junio,Rincon y Carlos Calvo,1059,Rincon,Carlos Calvo,3,26,6
2011,Junio,Virrey Liniers y C.Calvo,752,Virrey Liniers,C.Calvo,4,27,6
2011,Junio,Billinghurst y Peron,1964,Billinghurst,Peron,5,28,6
