Source address;Destination address;Distance[km]
Corredor Norte y Casares;11 de Sep y Monroe;5.39
Corredor Norte y Casares;M.T. Alvear y Uriburu;3.448
Corredor Norte y Casares;La Pampa y Superi;6.795
EEUU y 33 Orientales;F. Alcorta y Derecho;7.169
EEUU y 33 Orientales;Montevideo y Peron;4.563
EEUU y 33 Orientales;Cnel. Diaz y Mansilla;4.338
EEUU y 33 Orientales;Arenales y Montevideo;6.144
EEUU y 33 Orientales;Potosi y Rawson;2.055
EEUU y 33 Orientales;J. Alvarez y Padilla;3.357
EEUU y 33 Orientales;Chile y Tacuari;4.644
EEUU y 33 Orientales;Serrano y Loyola;4.206
EEUU y 33 Orientales;Gorriti y G. Cruz;6.362
EEUU y 33 Orientales;11 de Sep y Monroe;11.452
EEUU y 33 Orientales;M.T. Alvear y Uriburu;4.913
EEUU y 33 Orientales;La Pampa y Superi;9.581
F. Alcorta y Derecho;Montevideo y Peron;3.26
F. Alcorta y Derecho;Cnel. Diaz y Mansilla;3.136
F. Alcorta y Derecho;Arenales y Montevideo;1.966
F. Alcorta y Derecho;Potosi y Rawson;5.144
F. Alcorta y Derecho;J. Alvarez y Padilla;6.102
F. Alcorta y Derecho;Chile y Tacuari;4.888
F. Alcorta y Derecho;Serrano y Loyola;6.041
F. Alcorta y Derecho;Gorriti y G. Cruz;5.179
F. Alcorta y Derecho;11 de Sep y Monroe;6.915
F. Alcorta y Derecho;M.T. Alvear y Uriburu;1.991
F. Alcorta y Derecho;La Pampa y Superi;8.32
Montevideo y Peron;Cnel. Diaz y Mansilla;3.461
Montevideo y Peron;Arenales y Montevideo;1.293
Montevideo y Peron;Potosi y Rawson;3.45
Montevideo y Peron;J. Alvarez y Padilla;5.783
Montevideo y Peron;Chile y Tacuari;2.143
Montevideo y Peron;Serrano y Loyola;5.722
Montevideo y Peron;Gorriti y G. Cruz;5.864
Montevideo y Peron;11 de Sep y Monroe;10.344
Montevideo y Peron;M.T. Alvear y Uriburu;1.914
Montevideo y Peron;La Pampa y Superi;9.083
Cnel. Diaz y Mansilla;Arenales y Montevideo;3.011
Cnel. Diaz y Mansilla;Potosi y Rawson;2.691
Cnel. Diaz y Mansilla;J. Alvarez y Padilla;3.181
Cnel. Diaz y Mansilla;Chile y Tacuari;6.334
Cnel. Diaz y Mansilla;Serrano y Loyola;3.12
Cnel. Diaz y Mansilla;Gorriti y G. Cruz;2.695
Cnel. Diaz y Mansilla;11 de Sep y Monroe;7.114
Cnel. Diaz y Mansilla;M.T. Alvear y Uriburu;1.92
Cnel. Diaz y Mansilla;La Pampa y Superi;6.482
Arenales y Montevideo;Potosi y Rawson;4.718
Arenales y Montevideo;J. Alvarez y Padilla;5.474
Arenales y Montevideo;Chile y Tacuari;3.436
Arenales y Montevideo;Serrano y Loyola;5.413
Arenales y Montevideo;Gorriti y G. Cruz;5.555
Arenales y Montevideo;11 de Sep y Monroe;8.51
Arenales y Montevideo;M.T. Alvear y Uriburu;1.103
Arenales y Montevideo;La Pampa y Superi;8.774
Potosi y Rawson;J. Alvarez y Padilla;1.781
Potosi y Rawson;Chile y Tacuari;5.572
Potosi y Rawson;Serrano y Loyola;2.743
Potosi y Rawson;Gorriti y G. Cruz;3.419
Potosi y Rawson;11 de Sep y Monroe;9.191
Potosi y Rawson;M.T. Alvear y Uriburu;3.669
Potosi y Rawson;La Pampa y Superi;6.747
J. Alvarez y Padilla;Chile y Tacuari;7.167
J. Alvarez y Padilla;Serrano y Loyola;1.517
J. Alvarez y Padilla;Gorriti y G. Cruz;2.785
J. Alvarez y Padilla;11 de Sep y Monroe;8.561
J. Alvarez y Padilla;M.T. Alvear y Uriburu;4.821
J. Alvarez y Padilla;La Pampa y Superi;5.522
Chile y Tacuari;Serrano y Loyola;7.765
Chile y Tacuari;Gorriti y G. Cruz;7.907
Chile y Tacuari;11 de Sep y Monroe;11.264
Chile y Tacuari;M.T. Alvear y Uriburu;4.013
Chile y Tacuari;La Pampa y Superi;11.126
Serrano y Loyola;Gorriti y G. Cruz;1.079
Serrano y Loyola;11 de Sep y Monroe;6.856
Serrano y Loyola;M.T. Alvear y Uriburu;4.255
Serrano y Loyola;La Pampa y Superi;4.005
Gorriti y G. Cruz;11 de Sep y Monroe;5.774
Gorriti y G. Cruz;M.T. Alvear y Uriburu;3.826
Gorriti y G. Cruz;La Pampa y Superi;3.649
11 de Sep y Monroe;M.T. Alvear y Uriburu;8.22
11 de Sep y Monroe;La Pampa y Superi;2.622
M.T. Alvear y Uriburu;La Pampa y Superi;7.781
