Origen,Destino,Distancia[km],Calle 1,Calle 2,Calle 1 id,Calle 2 id
Virrey Liniers y C.Calvo,M.T. Alvear y Uriburu,4.128,M.T. Alvear,Uriburu,23,39
Virrey Liniers y C.Calvo,La Pampa y Superi,8.797,La Pampa,Superi,24,40
Billinghurst y Peron,Del Libertador y Montevideo,5.525,Del Libertador,Montevideo,6,10
Billinghurst y Peron,Corredor Norte y Casares,4.243,Corredor Norte,Casares,7,29
Billinghurst y Peron,EEUU y 33 Orientales,2.812,EEUU,33 Orientales,8,30
Billinghurst y Peron,F. Alcorta y Derecho,4.536,F. Alcorta,Derecho,9,31
Billinghurst y Peron,Montevideo y Peron,3.02,Montevideo,Peron,10,28
Billinghurst y Peron,Cnel. Diaz y Mansilla,1.705,Cnel. Diaz,Mansilla,11,32
Billinghurst y Peron,Arenales y Montevideo,3.958,Arenales,Montevideo,12,10
Billinghurst y Peron,Potosi y Rawson,0.986,Potosi,Rawson,17,33
Billinghurst y Peron,J. Alvarez y Padilla,2.767,J. Alvarez,Padilla,18,34
Billinghurst y Peron,Chile y Tacuari,4.629,Chile,Tacuari,19,35
Billinghurst y Peron,Serrano y Loyola,3.131,Serrano,Loyola,20,36
Billinghurst y Peron,Gorriti y G. Cruz,3.729,Gorriti,G. Cruz,21,37
Billinghurst y Peron,11 de Sep y Monroe,8.819,11 de Sep,Monroe,22,38
Billinghurst y Peron,M.T. Alvear y Uriburu,2.726,M.T. Alvear,Uriburu,23,39
Billinghurst y Peron,La Pampa y Superi,6.948,La Pampa,Superi,24,40
Del Libertador y Montevideo,Corredor Norte y Casares,2.676,Corredor Norte,Casares,7,29
Del Libertador y Montevideo,EEUU y 33 Orientales,7.473,EEUU,33 Orientales,8,30
Del Libertador y Montevideo,F. Alcorta y Derecho,0.938,F. Alcorta,Derecho,9,31
Del Libertador y Montevideo,Montevideo y Peron,2.599,Montevideo,Peron,10,28
Del Libertador y Montevideo,Cnel. Diaz y Mansilla,4.073,Cnel. Diaz,Mansilla,11,32
Del Libertador y Montevideo,Arenales y Montevideo,1.305,Arenales,Montevideo,12,10
Del Libertador y Montevideo,Potosi y Rawson,5.694,Potosi,Rawson,17,33
Del Libertador y Montevideo,J. Alvarez y Padilla,6.397,J. Alvarez,Padilla,18,34
Del Libertador y Montevideo,Chile y Tacuari,4.227,Chile,Tacuari,19,35
Del Libertador y Montevideo,Serrano y Loyola,6.336,Serrano,Loyola,20,36
Del Libertador y Montevideo,Gorriti y G. Cruz,6.117,Gorriti,G. Cruz,21,37
Del Libertador y Montevideo,11 de Sep y Monroe,7.853,11 de Sep,Monroe,22,38
Del Libertador y Montevideo,M.T. Alvear y Uriburu,2.541,M.T. Alvear,Uriburu,23,39
Del Libertador y Montevideo,La Pampa y Superi,9.258,La Pampa,Superi,24,40
Corredor Norte y Casares,EEUU y 33 Orientales,6.495,EEUU,33 Orientales,8,30
Corredor Norte y Casares,F. Alcorta y Derecho,2.339,F. Alcorta,Derecho,9,31
Corredor Norte y Casares,Montevideo y Peron,5.064,Montevideo,Peron,10,28
Corredor Norte y Casares,Cnel. Diaz y Mansilla,2.538,Cnel. Diaz,Mansilla,11,32
Corredor Norte y Casares,Arenales y Montevideo,3.771,Arenales,Montevideo,12,10
Corredor Norte y Casares,Potosi y Rawson,4.669,Potosi,Rawson,17,33
Corredor Norte y Casares,J. Alvarez y Padilla,4.742,J. Alvarez,Padilla,18,34
Corredor Norte y Casares,Chile y Tacuari,7.208,Chile,Tacuari,19,35
Corredor Norte y Casares,Serrano y Loyola,4.681,Serrano,Loyola,20,36
Corredor Norte y Casares,Gorriti y G. Cruz,3.654,Gorriti,G. Cruz,21,37
Corredor Norte y Casares,11 de Sep y Monroe,5.39,11 de Sep,Monroe,22,38
Corredor Norte y Casares,M.T. Alvear y Uriburu,3.448,M.T. Alvear,Uriburu,23,39
Corredor Norte y Casares,La Pampa y Superi,6.795,La Pampa,Superi,24,40
EEUU y 33 Orientales,F. Alcorta y Derecho,7.169,F. Alcorta,Derecho,9,31
EEUU y 33 Orientales,Montevideo y Peron,4.563,Montevideo,Peron,10,28
EEUU y 33 Orientales,Cnel. Diaz y Mansilla,4.338,Cnel. Diaz,Mansilla,11,32
EEUU y 33 Orientales,Arenales y Montevideo,6.144,Arenales,Montevideo,12,10
EEUU y 33 Orientales,Potosi y Rawson,2.055,Potosi,Rawson,17,33
EEUU y 33 Orientales,J. Alvarez y Padilla,3.357,J. Alvarez,Padilla,18,34
EEUU y 33 Orientales,Chile y Tacuari,4.644,Chile,Tacuari,19,35
EEUU y 33 Orientales,Serrano y Loyola,4.206,Serrano,Loyola,20,36
EEUU y 33 Orientales,Gorriti y G. Cruz,6.362,Gorriti,G. Cruz,21,37
EEUU y 33 Orientales,11 de Sep y Monroe,11.452,11 de Sep,Monroe,22,38
EEUU y 33 Orientales,M.T. Alvear y Uriburu,4.913,M.T. Alvear,Uriburu,23,39
EEUU y 33 Orientales,La Pampa y Superi,9.581,La Pampa,Superi,24,40
F. Alcorta y Derecho,Montevideo y Peron,3.26,Montevideo,Peron,10,28
F. Alcorta y Derecho,Cnel. Diaz y Mansilla,3.136,Cnel. Diaz,Mansilla,11,32
F. Alcorta y Derecho,Arenales y Montevideo,1.966,Arenales,Montevideo,12,10
F. Alcorta y Derecho,Potosi y Rawson,5.144,Potosi,Rawson,17,33
F. Alcorta y Derecho,J. Alvarez y Padilla,6.102,J. Alvarez,Padilla,18,34
F. Alcorta y Derecho,Chile y Tacuari,4.888,Chile,Tacuari,19,35
F. Alcorta y Derecho,Serrano y Loyola,6.041,Serrano,Loyola,20,36
F. Alcorta y Derecho,Gorriti y G. Cruz,5.179,Gorriti,G. Cruz,21,37
F. Alcorta y Derecho,11 de Sep y Monroe,6.915,11 de Sep,Monroe,22,38
F. Alcorta y Derecho,M.T. Alvear y Uriburu,1.991,M.T. Alvear,Uriburu,23,39
F. Alcorta y Derecho,La Pampa y Superi,8.32,La Pampa,Superi,24,40
Montevideo y Peron,Cnel. Diaz y Mansilla,3.461,Cnel. Diaz,Mansilla,11,32
